n	lnL	lambda	mu	psi	rho
25000	18.8231	3.43216	1.93495	1.65792	0.290831
25100	18.1533	3.11695	0.00902632	1.75302	0.373181
25200	19.1106	3.34723	0.550592	1.81955	0.379067
25300	20.3608	4.35265	0.125952	1.04023	0.145806
25400	18.1402	3.31294	0.175727	1.41798	0.191624
25500	23.5502	4.67589	1.08144	2.06233	0.280637
25600	23.5555	4.65542	0.311816	2.02007	0.243635
25700	18.47	3.71805	1.59582	1.26969	0.45673
25800	19.0006	3.54903	0.829512	3.09441	0.529867
25900	19.3374	3.42709	1.05348	1.72793	0.28051
26000	22.9858	4.52209	1.91956	2.34803	0.267934
26100	19.4407	3.78117	0.436837	1.22025	0.341781
26200	18.1557	3.25458	0.213258	1.58375	0.189164
26300	16.4029	3.27903	2.18711	1.1431	0.26565
26400	22.3234	4.20311	0.74102	2.03562	0.258002
26500	17.5823	3.01073	0.325968	1.58872	0.261244
26600	16.6344	3.25828	1.73403	1.68064	0.600148
26700	16.6901	2.90919	0.957516	1.5343	0.267657
26800	20.2646	3.86077	1.5924	1.68346	0.423346
26900	21.268	3.90751	1.28787	1.95953	0.297971
27000	18.8307	3.40697	1.96288	1.77724	0.422292
27100	23.6313	4.99828	2.05505	1.6755	0.336699
27200	16.9228	2.97915	0.700342	1.42743	0.359686
27300	22.4768	4.30213	1.83633	2.43892	0.352373
27400	22.438	4.53195	0.972549	1.43584	0.239394
27500	22.9862	4.54437	0.402185	1.65345	0.242187
27600	19.052	3.32809	0.513677	1.6575	0.286759
27700	15.5486	2.5123	0.641861	1.88234	0.357519
27800	16.6873	3.04502	1.22862	1.70353	0.520704
27900	16.2752	2.84984	1.06372	1.47647	0.284832
28000	18.9356	3.21146	1.22131	2.62599	0.285103
28100	20.7588	3.91855	0.285928	1.42286	0.241034
28200	22.6953	4.53152	0.0254278	1.46154	0.245936
28300	18.2127	3.30935	0.414697	1.38739	0.360735
28400	16.5915	3.18206	0.8382	1.07029	0.294111
28500	22.7393	4.31699	0.36425	2.18805	0.2552
28600	18.5123	3.08785	0.151333	1.97572	0.330274
28700	21.0613	4.53329	0.570367	1.05865	0.322609
28800	17.3952	3.36365	1.17515	2.83636	0.633516
28900	21.9853	4.15892	0.440161	1.72088	0.247838
29000	20.4966	4.11083	0.153778	1.12767	0.209011
29100	15.7069	2.78571	1.00086	1.3874	0.392298
29200	18.7233	3.53705	0.597639	1.78035	0.486773
29300	20.9657	3.97404	0.118839	2.56546	0.166704
29400	16.1455	2.74789	1.52815	2.66833	0.232202
29500	20.9494	3.76995	0.150075	2.41029	0.216042
29600	19.405	3.41087	1.13809	2.03027	0.407287
29700	18.6496	3.55181	1.37559	1.2961	0.262098
29800	18.0159	3.48109	0.259887	2.10584	0.538105
29900	15.3918	2.77388	0.398139	1.44262	0.190157
30000	18.9693	3.18216	0.512368	2.67588	0.269647
30100	15.4894	2.73713	0.290545	1.52954	0.192059
30200	19.4742	3.90593	0.172487	2.73477	0.121255
30300	23.3548	4.67587	0.57807	2.55592	0.207459
30400	18.2397	3.22757	0.795287	1.67946	0.411181
30500	23.0513	4.65521	0.37597	1.5122	0.220936
30600	17.4017	3.08545	1.53415	1.64109	0.267447
30700	21.3627	4.13723	2.17775	2.43395	0.484325
30800	19.8961	3.60476	0.542203	1.66582	0.35626
30900	20.4783	3.73955	0.939463	1.90104	0.38747
31000	18.5029	3.28974	1.17375	1.58495	0.291748
31100	21.6392	4.24845	1.15576	1.46124	0.277233
31200	17.2982	3.80367	1.57956	1.00727	0.158458
31300	21.1713	4.00525	0.610043	1.86352	0.388139
31400	21.4144	4.21522	0.934827	1.41322	0.228361
31500	19.8017	3.7951	1.27804	1.40368	0.36647
31600	23.0672	4.83461	1.09592	1.62651	0.365688
31700	19.6281	3.50113	1.13551	1.7619	0.276767
31800	20.2457	3.91187	0.347851	1.75237	0.433374
31900	19.6164	3.32238	0.191994	2.54823	0.272122
32000	22.661	4.36759	0.0581947	2.61934	0.306978
32100	12.9539	2.32744	0.436551	1.78019	0.555388
32200	20.0153	3.46968	0.277714	2.25628	0.353438
32300	20.9759	3.98857	1.90057	2.00681	0.438826
32400	20.7277	3.94925	0.963875	1.4815	0.325469
32500	13.2571	2.35323	1.99849	1.60169	0.485118
32600	18.9148	3.14625	0.0184201	2.13651	0.27893
32700	23.5496	4.64447	0.661923	2.2478	0.250095
32800	19.0776	3.77815	0.0957942	1.37835	0.136432
32900	19.4809	3.78875	1.37958	1.35795	0.393476
33000	21.5388	4.07051	0.460164	1.58857	0.261337
33100	22.3032	4.34497	1.00851	2.38233	0.407062
33200	20.877	3.85584	0.603835	1.78424	0.354737
33300	21.5019	4.15392	0.462528	1.58096	0.19398
33400	17.2223	3.3904	0.767877	1.11093	0.198067
33500	19.5425	3.33834	0.448753	2.56968	0.374091
33600	20.7213	3.78629	0.152422	1.74282	0.331014
33700	20.9972	3.81895	0.272842	1.79705	0.236168
33800	14.715	2.28317	0.175551	2.3744	0.378644
33900	21.725	4.11929	0.39665	2.33827	0.38652
34000	24.8131	5.72056	0.779591	2.4152	0.385348
34100	18.7855	3.59655	0.66734	2.63809	0.141752
34200	16.3067	3.26039	0.389924	1.19083	0.475426
34300	22.0394	4.21074	1.10312	1.89603	0.231521
34400	21.6845	4.04581	0.413631	2.14423	0.358487
34500	17.0891	2.8645	1.20324	2.22349	0.254045
34600	17.25	2.98663	0.311873	1.51904	0.361974
34700	18.5901	3.43833	0.00333612	1.23279	0.24022
34800	21.1945	4.01934	1.54203	2.07116	0.430744
34900	19.5347	3.37716	0.0769355	1.79955	0.298132
35000	16.0761	2.98957	0.635042	1.1299	0.310943
35100	19.8113	3.54318	0.808713	1.78639	0.241252
35200	20.404	3.76109	0.973565	1.59964	0.283795
35300	19.4043	3.27452	0.149981	2.11538	0.294805
35400	19.8449	3.52682	0.337235	2.79091	0.414357
35500	15.0094	2.40141	0.303054	1.9336	0.281902
35600	20.742	4.38693	0.678901	1.00793	0.243299
35700	20.2892	3.5939	0.593972	1.95562	0.344778
35800	20.6803	4.49045	1.27612	1.9401	0.111012
35900	17.3103	2.84776	0.0511391	1.87748	0.254272
36000	22.0571	4.21339	0.314753	1.74071	0.310658
36100	19.4032	3.75106	0.426984	1.52906	0.434613
36200	17.7532	3.35207	0.413664	1.12898	0.282044
36300	22.3703	4.33613	1.2294	2.2788	0.213139
36400	22.2442	4.29407	0.59668	1.6843	0.227486
36500	20.4556	3.71682	0.755632	1.71521	0.256079
36600	21.7431	4.08505	0.994972	2.01005	0.361675
36700	24.0314	4.9479	1.61561	2.72566	0.336125
36800	21.2047	3.85609	0.50794	1.85966	0.279833
36900	20.2618	3.70999	0.355801	1.65197	0.347857
37000	18.5621	3.70505	0.197755	1.05669	0.339274
37100	20.2321	3.70904	0.0725478	1.66855	0.351508
37200	19.1954	3.77942	1.4417	1.35406	0.427585
37300	20.5405	3.70561	1.13082	1.90584	0.271843
37400	18.2728	3.33754	0.338268	1.31743	0.236764
37500	14.1355	2.82913	1.41643	1.14323	0.204284
37600	20.4351	3.87014	1.51664	1.57172	0.356208
37700	21.709	4.27602	1.59363	1.62691	0.363206
37800	19.4659	3.49543	0.385071	1.82465	0.195263
37900	19.7378	3.65938	0.539355	1.40739	0.248479
38000	14.719	2.72787	0.16706	1.94815	0.567344
38100	20.8437	3.97215	0.141081	1.3692	0.234578
38200	19.5514	3.36319	0.0186866	2.15979	0.356345
38300	19.5614	3.59033	0.122299	2.18415	0.443228
38400	16.3813	2.80384	0.866431	1.68086	0.249689
38500	13.8895	2.63925	0.868975	2.51663	0.133306
38600	21.8837	4.3885	1.46768	1.44151	0.299391
38700	17.4226	3.03447	0.0190937	1.48437	0.224147
38800	16.2781	3.19455	0.185431	1.39133	0.129404
38900	18.5765	3.60955	1.22007	1.1852	0.258501
39000	18.0549	3.99994	0.048542	1.36402	0.52004
39100	20.3053	3.67387	0.344892	1.63973	0.245276
39200	15.8387	2.75115	0.482799	1.41576	0.261673
39300	21.904	4.41023	0.0653013	1.27964	0.263106
39400	17.2527	2.9688	0.556996	1.53725	0.335981
39500	24.6495	6.04089	0.396131	1.41697	0.342362
39600	17.2898	3.21401	1.35117	1.27309	0.334513
39700	19.8764	3.8172	0.634789	2.48054	0.50759
39800	15.9379	2.50959	0.350931	2.20563	0.329546
39900	18.1682	3.08729	0.4004	1.70668	0.289352
40000	13.5262	2.10792	0.549393	2.48918	0.42069
40100	20.5412	3.71525	0.511871	1.69656	0.282531
40200	22.7314	4.39128	0.748308	1.89159	0.242016
40300	21.0462	4.00357	0.61533	1.46823	0.249857
40400	19.9232	4.07638	0.844302	3.2298	0.558096
40500	21.1088	3.80474	0.261526	1.89237	0.278336
40600	19.0162	4.29858	1.38241	1.08825	0.486069
40700	15.9137	2.67439	0.336517	1.61658	0.253186
40800	17.74	3.27942	0.329549	1.19465	0.280979
40900	20.5211	3.68191	0.256271	1.85786	0.334951
41000	16.8091	3.17399	0.0882194	1.075	0.319149
41100	20.7721	4.02627	0.81283	1.39969	0.329975
41200	17.3134	3.56933	0.874228	2.44382	0.648828
41300	20.2877	3.79789	1.00424	1.88358	0.190787
41400	15.1348	3.14981	0.571528	0.84132	0.348044
41500	18.9644	3.49083	2.14556	1.81907	0.25339
41600	19.437	3.81124	0.527744	1.25269	0.370767
41700	21.7489	3.986	0.763578	2.1375	0.279453
41800	9.04222	1.58586	0.418815	1.90559	0.321065
41900	16.3459	2.75639	1.98068	2.04954	0.320787
42000	21.2693	4.05059	0.386455	1.535	0.31286
42100	15.418	2.49128	0.499344	1.9309	0.39815
42200	15.7584	3.08893	2.0397	1.1305	0.309747
42300	18.4004	3.26675	0.756968	1.49663	0.289023
42400	16.0796	2.81647	0.949729	1.51825	0.422491
42500	19.7063	3.47959	0.589947	1.71571	0.292872
42600	20.4873	3.62551	0.743657	2.02609	0.270491
42700	19.0492	3.23832	0.508633	2.11035	0.251162
42800	18.8653	3.64584	0.803843	1.28923	0.392298
42900	19.7211	3.84214	0.921605	1.3972	0.403798
43000	18.7351	3.58619	0.222518	1.25013	0.366037
43100	8.80763	1.67903	0.0936348	1.50579	0.243497
43200	17.8525	3.29342	1.59198	1.44233	0.40408
43300	14.3706	3.16966	1.18807	0.828965	0.199282
43400	16.6588	2.65744	0.910718	2.43165	0.3598
43500	23.9636	5.19008	0.119796	1.30116	0.220726
43600	18.9968	3.21048	0.788017	2.21396	0.370695
43700	18.9351	3.61567	0.0925431	1.32428	0.379403
43800	18.9012	3.37492	0.0888971	1.65906	0.38123
43900	16.362	2.93525	1.03585	2.07752	0.174034
44000	16.5093	2.96191	0.740718	1.51374	0.205542
44100	19.2515	3.69929	2.56952	1.96845	0.541085
44200	21.6656	4.1246	0.789169	1.6525	0.310082
44300	19.5471	3.32146	0.214372	2.06563	0.295618
44400	21.8886	4.13407	0.307227	1.69941	0.235024
44500	18.2877	3.1791	0.539575	1.57573	0.293472
44600	18.2986	3.15569	0.211849	1.58809	0.271046
44700	19.0834	3.32458	0.403246	3.33628	0.394217
44800	22.2021	4.24578	0.785132	2.3597	0.380451
44900	19.8832	3.5777	1.44257	2.06754	0.426307
45000	24.3255	5.04646	0.433525	2.44681	0.289812
45100	22.5827	4.43637	0.966231	2.40018	0.396791
45200	20.3911	3.78015	0.218795	1.48748	0.304569
45300	15.7558	2.90103	0.1591	1.82738	0.532849
45400	18.1916	3.12351	0.902394	2.82844	0.226779
45500	20.3879	3.69063	0.360046	2.09455	0.393825
45600	20.7962	4.2736	0.00135486	1.09788	0.288473
45700	14.0748	2.55348	1.09037	1.65181	0.552815
45800	19.6945	3.89018	1.47979	2.16038	0.558978
45900	21.3648	5.17114	1.91853	0.880388	0.339615
46000	15.9669	2.52167	0.0675612	2.33915	0.38538
46100	20.8864	3.99241	0.53388	1.47876	0.330281
46200	17.3903	3.74232	1.27968	1.17641	0.528006
46300	19.3649	3.35106	1.68515	2.35492	0.308675
46400	18.3484	3.16569	0.761098	1.6993	0.341916
46500	20.9241	3.71285	0.765604	2.37149	0.277412
46600	17.7448	3.00772	0.635143	1.72007	0.342055
46700	22.5558	5.26838	1.35873	1.06089	0.341506
46800	16.6389	3.36815	1.60678	1.18491	0.491886
46900	20.3466	3.89941	1.92072	1.65457	0.41212
47000	16.8421	2.8804	0.26387	1.82571	0.438168
47100	20.1126	3.88015	1.33325	1.73984	0.462366
47200	20.0776	3.55304	2.0659	2.46827	0.362854
47300	20.8133	4.11444	0.105681	1.20268	0.21741
47400	15.6045	2.72109	0.348858	1.34912	0.351259
47500	18.3308	3.11786	0.341819	2.1568	0.416681
47600	18.3401	3.20687	1.308	1.71768	0.297913
47700	20.1568	3.6139	0.0959217	1.61788	0.257978
47800	22.1669	4.34165	0.939901	1.80617	0.368101
47900	15.5747	2.72866	0.486744	1.39092	0.248616
48000	19.1299	3.31076	0.286852	2.03513	0.215052
48100	18.6418	3.21154	0.984959	2.14654	0.237958
48200	20.2068	3.91168	1.45292	1.37903	0.328945
48300	21.7371	4.51812	0.286896	1.48108	0.382813
48400	15.4689	3.45456	1.02895	0.768775	0.204654
48500	21.2387	4.41348	1.02385	1.34604	0.391298
48600	20.2036	3.70719	0.485186	1.88032	0.402033
48700	20.499	4.1559	0.544623	1.10734	0.241443
48800	18.8324	3.43828	1.41458	1.51818	0.356546
48900	21.5919	4.01149	0.472491	1.75807	0.271067
49000	15.7405	3.68634	1.12082	1.29298	0.0870691
49100	17.8343	2.93728	0.0619045	2.37155	0.231718
49200	18.9238	3.60695	0.0352466	1.75627	0.458422
49300	19.568	3.56267	0.180397	3.77586	0.308724
49400	20.5858	3.70287	2.09231	2.75719	0.384655
49500	20.4944	3.64539	0.653076	2.10874	0.36385
49600	18.7768	3.17555	0.64319	2.55439	0.245618
49700	18.6531	3.34689	0.328879	1.57084	0.204832
49800	18.9394	3.26197	1.14317	2.16629	0.258054
49900	15.9006	2.69972	1.65786	1.76624	0.404187
50000	20.3372	3.56089	0.556657	2.30407	0.249515
50100	20.9794	3.77872	1.05982	2.05409	0.320134
50200	20.1909	3.81033	0.114396	1.34722	0.218328
50300	24.4915	5.09699	0.694503	2.23625	0.216746
50400	18.2859	3.72593	0.334043	2.07652	0.10329
50500	20.6856	3.61978	0.281218	2.54648	0.295343
50600	21.8692	4.44419	1.25438	1.48554	0.368074
50700	20.0907	3.48899	0.417127	2.30778	0.245004
50800	21.9943	4.21169	1.07309	2.09816	0.388185
50900	19.0847	3.37988	0.19883	1.59818	0.340546
51000	21.5076	4.11878	1.66666	1.807	0.370296
51100	19.1866	3.3294	0.411538	2.5379	0.42456
51200	20.64	3.80983	0.670667	2.43791	0.19113
51300	19.2469	3.98419	0.0478858	1.21102	0.411019
51400	19.4109	3.37491	0.0625253	1.78753	0.330769
51500	16.0406	2.81944	0.363749	1.45628	0.217688
51600	17.2089	3.16301	1.04478	1.28456	0.34974
51700	17.6923	2.98824	0.355978	1.73681	0.357415
51800	18.7443	3.2045	0.805364	1.87062	0.342264
51900	16.7938	2.73374	1.13445	2.92684	0.449616
52000	22.0594	4.42544	0.543513	1.35853	0.221482
52100	22.6677	4.52531	0.317799	1.73451	0.334358
52200	16.1838	2.56733	1.03134	2.50786	0.364794
52300	18.3935	3.31671	1.62163	1.87697	0.226696
52400	21.1458	3.87491	0.201934	2.22906	0.198526
52500	23.4053	5.5275	0.719992	1.38162	0.104819
52600	11.527	2.72813	0.316087	1.24301	0.653025
52700	14.91	2.45313	0.46731	1.70715	0.280115
52800	19.2247	3.9103	0.955295	1.12584	0.372884
52900	18.1895	3.08087	0.0206138	1.89721	0.218673
53000	21.0751	3.98327	0.879541	2.18983	0.433922
53100	22.5109	4.40273	0.725038	1.82262	0.33888
53200	21.122	3.99907	0.0681207	1.81838	0.169383
53300	19.9099	3.61569	0.504134	1.9899	0.188386
53400	20.3563	4.54376	0.543932	1.99143	0.550304
53500	21.6484	4.15586	0.331534	1.49033	0.260725
53600	19.7245	3.7011	0.630568	1.74994	0.436616
53700	18.7224	3.79492	1.07314	1.0967	0.205965
53800	22.2673	4.41944	0.696127	1.45843	0.256102
53900	19.1472	3.22247	0.735332	2.26288	0.298856
54000	22.7332	4.42369	0.885765	1.91258	0.323837
54100	21.8384	3.9949	0.64855	2.2872	0.288467
54200	20.7132	3.96082	0.79914	1.5687	0.373277
54300	13.7782	2.48792	1.59443	1.80853	0.586238
54400	23.1647	4.80942	1.41489	1.55059	0.318322
54500	17.6574	3.04161	0.568595	1.98597	0.205431
54600	18.7073	3.80186	0.661047	1.18165	0.158153
54700	18.1107	3.29673	3.10672	2.2744	0.537987
54800	18.5003	3.20913	0.549709	2.08737	0.206061
54900	18.7717	3.73532	1.42995	1.18216	0.378412
55000	15.9019	2.56141	0.869198	2.20196	0.423134
55100	20.8735	4.12496	0.579209	1.24991	0.276718
55200	14.4895	2.33002	2.09668	2.75853	0.418213
55300	18.8056	3.66792	1.52541	1.40469	0.450541
55400	19.6634	3.40226	0.104631	1.84788	0.257372
55500	16.9331	2.8924	0.217161	1.57521	0.239786
55600	14.639	2.57166	0.887487	1.46997	0.444355
55700	14.3953	2.59257	0.355829	1.2208	0.379442
55800	23.5807	5.61126	0.601431	1.84128	0.437926
55900	19.1225	3.25989	0.318218	1.90759	0.26635
56000	20.9785	4.2416	0.628067	1.17054	0.252505
56100	22.4616	4.39422	0.653486	1.76373	0.331075
56200	17.4053	3.12321	1.25136	1.97009	0.523402
56300	22.175	4.25654	0.195247	1.97094	0.342075
56400	16.8862	3.18787	0.72893	1.22776	0.408168
56500	10.711	2.42104	1.66778	1.20269	0.158771
56600	19.6325	3.48292	2.15607	2.17392	0.335905
56700	16.6208	3.26193	0.175615	1.2528	0.463196
56800	21.0006	4.54707	0.678333	0.992228	0.191915
56900	12.4033	1.97784	0.203846	2.02984	0.288301
57000	19.8044	3.8413	0.711944	1.62088	0.447593
57100	13.9542	3.07702	1.53865	0.94425	0.526546
57200	18.939	3.19591	0.285741	1.93821	0.308645
57300	18.3398	3.03541	0.956773	2.3199	0.361981
57400	17.2105	3.18315	0.924583	1.32547	0.227259
57500	14.4117	3.3024	0.117456	0.65174	0.329549
57600	21.064	3.90992	0.649567	1.70749	0.327727
57700	19.1651	4.04475	0.37368	0.992893	0.35498
57800	17.1072	2.78844	0.959007	2.15764	0.379098
57900	22.5153	4.45764	0.714656	1.57308	0.293248
58000	18.1652	3.23448	1.93099	2.0328	0.492274
58100	22.7333	4.37022	0.344844	2.26343	0.213135
58200	20.1067	3.80519	0.192445	1.56947	0.169466
58300	22.2824	4.2189	0.835264	1.90642	0.272122
58400	20.591	3.91816	0.739686	3.09631	0.464859
58500	19.8116	3.60641	1.16281	1.76604	0.235147
58600	20.9938	3.72564	0.117298	2.09027	0.276193
58700	22.7833	4.62934	0.916138	1.60593	0.19321
58800	19.5977	3.40179	0.214705	1.78605	0.292067
58900	16.7562	3.28984	1.1576	1.10878	0.403886
59000	19.5312	3.51911	0.529577	1.52239	0.288398
59100	17.5197	3.2047	0.719934	1.41317	0.413686
59200	18.6175	3.17321	0.0556587	2.34501	0.406166
59300	20.8295	3.92646	0.211001	1.51275	0.319187
59400	23.6103	5.04051	0.736427	1.66313	0.350131
59500	22.6351	4.32355	0.0457724	1.93333	0.278068
59600	19.1762	3.2838	0.431694	3.18734	0.284542
59700	20.7896	4.25483	0.199263	1.07501	0.242965
59800	18.9991	3.22321	0.96774	2.39663	0.400622
59900	21.4307	3.90749	0.298762	1.99587	0.235721
60000	21.3755	4.26509	0.424827	2.59187	0.457601
60100	21.3297	3.86932	0.794052	2.12824	0.330793
60200	19.4534	3.98585	0.566784	1.26691	0.426335
60300	20.6232	3.67494	0.300104	1.90589	0.244659
60400	17.3782	3.62352	2.18955	1.35519	0.568112
60500	16.8192	2.85231	2.00531	2.78046	0.275517
60600	17.6516	3.19245	1.15536	1.79215	0.495083
60700	23.101	4.72013	0.00644515	3.12785	0.240423
60800	19.4522	3.52698	0.327019	1.47257	0.242507
60900	18.2444	3.00265	0.818438	2.32777	0.313668
61000	18.4145	3.44705	1.21589	2.19893	0.554758
61100	21.8626	4.33086	0.441442	1.88259	0.397908
61200	17.8649	3.02441	1.18145	2.086	0.428158
61300	17.6261	3.12425	0.479374	1.56427	0.210677
61400	21.5255	4.53751	0.0157204	1.17595	0.148017
61500	21.8941	4.91237	0.0375861	0.942821	0.259462
61600	16.5754	3.7772	0.693608	2.25119	0.691525
61700	19.6433	3.39413	0.997517	2.09007	0.345551
61800	17.5879	3.25968	0.413875	1.2266	0.34573
61900	21.0966	3.84522	0.0625919	1.7386	0.243331
62000	20.945	4.06074	1.18994	1.69957	0.191308
62100	13.7752	2.36724	1.12532	1.5149	0.39647
62200	20.9948	4.10581	0.531394	1.32498	0.222901
62300	18.24	3.1655	0.933545	1.97795	0.441511
62400	15.6244	2.70683	0.79962	1.42322	0.328991
62500	17.404	3.11994	1.10022	1.44397	0.268987
62600	15.1178	2.79025	1.49	1.26894	0.403947
62700	18.5387	3.71712	1.30262	1.07411	0.2772
62800	20.8295	4.08139	1.07436	1.39557	0.341677
62900	17.8312	3.11206	0.61497	2.37907	0.494384
63000	21.0964	3.86404	0.695923	1.86277	0.333625
63100	19.0335	3.37491	0.488164	1.54969	0.272003
63200	16.1381	2.80025	0.663136	1.57809	0.230504
63300	17.9738	3.01945	0.700998	1.85842	0.2933
63400	17.2602	3.2392	2.69567	1.85719	0.567392
63500	22.4637	4.29411	0.769512	2.01761	0.228219
63600	20.1577	4.08528	0.615121	1.08554	0.244058
63700	16.0954	2.7075	0.715813	1.72402	0.257926
63800	18.4938	3.11191	0.186101	2.26972	0.394424
63900	19.7526	3.48154	0.353317	1.75781	0.328358
64000	18.6691	3.44694	1.41048	3.01361	0.191373
64100	12.9609	2.10292	1.02083	1.92332	0.356881
64200	20.1453	3.6566	0.261439	1.54352	0.267078
64300	18.996	3.32484	0.310627	1.94172	0.402446
64400	17.0513	3.35887	0.813024	1.05111	0.36591
64500	20.1501	3.6629	0.0999638	1.90919	0.182187
64600	18.4527	3.27859	1.39319	1.61409	0.328126
64700	19.796	3.66095	0.666087	1.59628	0.206089
64800	18.017	3.06362	0.659779	2.37937	0.217719
64900	20.8665	3.90638	0.508104	1.51119	0.272752
65000	22.2265	4.51398	0.0488824	1.26894	0.221698
65100	17.9198	3.51881	0.680997	1.48836	0.500872
65200	14.7647	2.98958	1.55099	1.11554	0.203893
65300	21.7997	4.08459	0.964774	1.84661	0.276408
65400	21.5047	3.93147	0.553619	2.88799	0.318291
65500	11.1096	3.17922	0.057122	0.79837	0.614039
65600	21.2138	3.93924	0.599031	1.67062	0.260901
65700	18.5449	3.29819	0.831176	2.2993	0.188476
65800	18.3131	3.39856	0.311584	1.23025	0.247741
65900	20.801	5.01351	0.579819	0.756774	0.279343
66000	19.1032	3.55621	0.828755	1.95743	0.488602
66100	22.0183	4.14922	1.82088	2.34513	0.288824
66200	16.8932	3.20029	0.278738	1.06516	0.286926
66300	20.3651	3.70188	0.375455	1.93183	0.38394
66400	15.6794	2.7612	0.113334	1.30535	0.358827
66500	20.0933	3.67097	0.454353	1.54796	0.242954
66600	20.4668	3.64461	1.28042	2.92073	0.285721
66700	15.7965	2.81547	0.986684	1.33191	0.304749
66800	21.4723	3.9517	0.234377	1.77981	0.262837
66900	19.4578	3.36894	0.17166	2.01976	0.221168
67000	18.3171	3.12135	0.6112	2.25845	0.43627
67100	21.6449	3.94697	0.226462	2.03194	0.282624
67200	22.8965	4.54005	1.16998	1.75652	0.307485
67300	20.7761	3.77893	0.207685	1.8324	0.33771
67400	12.9368	2.63196	0.703135	0.993537	0.206353
67500	19.1345	3.36073	0.226125	1.64568	0.332775
67600	22.1847	4.26856	0.0707099	1.81957	0.322005
67700	21.0757	3.89839	0.00828941	3.02798	0.225344
67800	17.6079	3.04239	0.370632	1.54812	0.256198
67900	20.0985	3.81378	1.2578	1.50839	0.231745
68000	17.2561	3.24488	0.352348	1.18843	0.209421
68100	14.1123	2.67718	0.389274	1.2188	0.184599
68200	19.2051	3.67317	1.19135	1.27584	0.306128
68300	20.2916	3.72961	1.42714	1.68991	0.309336
68400	20.1386	4.0684	1.37039	1.73668	0.508828
68500	17.897	3.24468	0.390299	1.2991	0.311706
68600	18.9551	3.56105	0.633239	1.39762	0.19932
68700	18.3413	3.04212	0.879647	2.19827	0.31526
68800	15.7292	2.77022	0.00179057	1.24971	0.281136
68900	19.4643	3.47838	0.204852	1.9636	0.185338
69000	14.2042	2.40468	0.277427	1.43667	0.34356
69100	15.1829	3.304	0.57698	0.889606	0.153857
69200	13.3028	2.34641	0.898259	1.90168	0.566596
69300	16.114	2.53177	0.135998	2.22865	0.317667
69400	21.808	4.21981	0.828888	1.9479	0.39474
69500	19.05	3.58962	1.30864	2.01151	0.171271
69600	20.3223	3.79676	1.70422	1.74749	0.394334
69700	18.4317	3.2645	0.686992	1.62381	0.231417
69800	18.2264	3.39562	0.599416	1.23784	0.259113
69900	19.417	3.39892	1.76629	2.22799	0.295286
70000	20.256	4.06676	1.03076	1.1654	0.278845
70100	22.117	4.23348	0.579006	1.66858	0.270719
70200	20.4626	4.18586	0.47127	1.98309	0.495522
70300	15.5707	2.92859	0.289636	1.2693	0.453078
70400	19.8	3.72222	1.08638	1.40789	0.276229
70500	15.7969	2.48404	0.00373777	2.10916	0.299287
70600	18.5623	3.14776	0.767339	2.29488	0.241978
70700	22.321	4.7156	0.238197	1.13596	0.217836
70800	17.2953	3.00031	0.0497491	1.56515	0.211275
70900	19.3363	3.49661	1.2842	1.63261	0.355878
71000	20.9408	3.92507	0.973761	1.65049	0.337688
71100	21.3033	4.23932	0.100595	1.22533	0.240743
71200	19.8231	3.6817	0.0133589	1.33648	0.268046
71300	21.2901	3.84605	0.62018	2.71953	0.338765
71400	16.0934	2.71488	1.39068	1.78947	0.305929
71500	19.653	3.57404	0.309892	1.71235	0.386353
71600	22.0148	4.46422	0.505765	1.35566	0.190765
71700	14.0149	2.76156	0.571441	1.01104	0.416868
71800	18.6842	3.38987	0.0664921	1.406	0.342409
71900	22.9485	4.70585	2.10348	1.65217	0.279121
72000	18.3942	3.15184	0.957528	1.91029	0.263509
72100	20.8994	4.04333	1.24966	1.60018	0.388691
72200	18.8914	3.29822	0.7197	1.67048	0.31194
72300	17.5616	3.58435	0.0503503	1.14002	0.433008
72400	21.2001	4.10993	0.691522	1.51524	0.200115
72500	24.3123	5.20514	1.93088	2.47853	0.394904
72600	14.7805	2.66739	1.01456	1.563	0.202313
72700	20.3445	3.71572	0.0852756	1.70395	0.346548
72800	19.9516	4.08445	2.48565	1.26259	0.350932
72900	19.8189	3.64414	0.9759	1.58184	0.242192
73000	20.3052	3.85393	2.28543	1.66248	0.346165
73100	22.1698	4.6958	0.721253	2.0793	0.463996
73200	20.6589	3.74383	1.41815	1.94857	0.295292
73300	19.9114	3.5	0.699656	1.88572	0.265634
73400	21.2523	3.98061	1.01425	1.91759	0.217903
73500	19.5581	4.26921	0.251247	0.834603	0.209032
73600	17.8456	3.14503	0.143927	1.38952	0.283351
73700	20.8493	3.69945	0.160658	2.07865	0.309538
73800	20.0684	3.62092	0.130105	1.5935	0.233214
73900	15.0147	3.24579	0.737518	0.758992	0.274854
74000	17.681	2.97987	0.106029	1.86227	0.38613
74100	19.7655	3.46762	1.08575	2.8308	0.426887
74200	20.2947	3.71772	2.09196	2.27696	0.260949
74300	21.2141	3.83978	0.12597	2.85268	0.305443
74400	17.2564	4.00456	0.187294	0.881437	0.44639
74500	15.3287	2.48267	0.212994	1.73976	0.31133
74600	17.2824	3.71203	0.627356	0.937732	0.41655
74700	22.3878	4.63551	0.321788	1.23185	0.240095
74800	19.9717	3.44099	0.45187	2.84315	0.291884
