n	lnL	lambda	mu	psi	rho
88700	18.3071	3.85106	0.980261	1.70968	0.585593
88800	16.1583	3.01456	0.4888	1.12092	0.260238
88900	18.1615	3.1616	0.561628	1.68076	0.234548
89000	22.286	4.21915	1.06067	2.57207	0.362199
89100	20.791	3.88595	0.491228	1.58934	0.218353
89200	21.1107	3.84694	1.87724	2.33327	0.334651
89300	16.1375	2.74086	0.980801	2.90677	0.213924
89400	22.8496	4.63637	1.59198	1.59653	0.291957
89500	20.3641	4.3723	0.936998	1.23053	0.428805
89600	24.3909	5.15289	0.536385	1.82278	0.294178
89700	21.7264	4.0327	0.337802	2.08823	0.338729
89800	22.5755	4.72309	0.815388	1.45847	0.351835
89900	20.2626	4.50009	0.414837	1.29263	0.457047
90000	20.2618	3.59933	0.418726	1.8958	0.342555
90100	15.6331	2.74013	0.728061	1.41833	0.259703
90200	18.0969	3.15846	1.11972	1.66215	0.2866
90300	20.9738	3.75053	0.111543	1.91815	0.26883
90400	16.8104	3.23797	0.747842	1.06232	0.321779
90500	24.6727	5.43178	0.367214	1.51713	0.269078
90600	19.5007	3.72381	1.61624	1.65276	0.202084
90700	20.0432	3.73244	0.806684	2.31339	0.174019
90800	24.6091	5.54973	0.0249083	2.45138	0.330959
90900	15.2633	3.15511	0.0318765	1.13449	0.494511
91000	18.2414	3.29722	0.656864	1.8853	0.175967
91100	20.906	3.96345	1.04791	2.70305	0.468743
91200	16.7431	3.5351	1.5253	1.47007	0.124507
91300	21.3769	3.90969	0.8115	2.10896	0.243387
91400	17.0136	2.72949	0.564856	2.93128	0.305762
91500	16.3865	3.41668	0.569505	0.947952	0.172597
91600	18.0485	3.78516	1.24103	3.04647	0.668572
91700	20.5057	4.19497	1.05346	1.47254	0.446028
91800	20.6178	3.66821	0.651445	2.14083	0.357326
91900	17.597	3.10551	0.485839	1.76661	0.44941
92000	17.2864	3.30619	0.39542	1.07691	0.317411
92100	20.8718	4.25112	0.200301	1.10605	0.259929
92200	20.1353	3.83198	0.237903	1.30962	0.221522
92300	20.7289	4.30622	0.719056	1.58957	0.462569
92400	18.7037	3.97186	0.204878	1.04797	0.133509
92500	21.0731	4.00688	0.368395	1.47958	0.221026
92600	20.4499	3.86551	1.16538	1.65086	0.393082
92700	21.038	3.73915	0.330526	2.14411	0.291019
92800	20.2647	3.99335	2.66289	2.30333	0.563298
92900	18.2868	3.42645	0.584993	1.35197	0.396779
93000	18.2478	3.04348	0.185824	1.99712	0.248872
93100	12.6261	2.38158	0.598488	1.39215	0.182706
93200	18.2897	3.04673	0.429298	2.10724	0.372665
93300	19.4084	3.77913	0.0394695	2.11176	0.122759
93400	19.8049	4.06007	0.390247	1.94576	0.51373
93500	22.8502	4.54604	0.42335	2.24987	0.176573
93600	18.6529	3.17256	0.976151	2.7617	0.254105
93700	16.7928	2.99047	1.64625	1.84907	0.224355
93800	14.723	2.97005	1.44708	0.962586	0.350355
93900	16.7488	3.25882	0.396757	1.00064	0.308933
94000	19.9331	3.41017	0.177656	2.34636	0.262797
94100	18.4387	3.57099	1.02695	3.09401	0.151414
94200	18.3088	3.10627	0.711418	1.83772	0.348052
94300	20.3555	3.5589	0.239172	1.98539	0.275445
94400	19.0446	3.87184	1.47922	1.17563	0.400689
94500	15.7178	2.68994	0.113956	2.349	0.507838
94600	16.0093	2.6778	0.213011	2.45086	0.48708
94700	19.2553	3.49235	0.625677	2.65632	0.485225
94800	19.2372	3.41263	0.000826227	1.53251	0.239318
94900	20.091	3.51545	0.417158	2.54271	0.38142
95000	19.2556	3.53841	0.0463033	1.38138	0.212805
95100	19.1972	3.36637	1.9612	2.06778	0.354404
95200	20.0223	3.85998	0.0878378	1.61722	0.410372
95300	17.7377	3.12179	1.14767	1.575	0.282037
95400	19.5474	3.37876	1.53592	2.27124	0.351831
95500	21.6342	4.76568	0.0126328	1.05845	0.313067
95600	22.304	4.70655	0.217673	1.87048	0.413699
95700	21.8687	4.8519	0.264136	0.975205	0.264681
95800	19.2246	3.29313	0.122044	1.80811	0.293797
95900	18.8021	3.51974	1.2044	1.5795	0.447609
96000	22.1006	4.42834	0.381926	1.52364	0.336257
96100	19.2494	3.95153	1.56311	1.45602	0.507998
96200	16.8369	2.78731	0.522738	2.00372	0.419522
96300	21.0757	4.12721	0.169973	1.27124	0.234233
96400	19.5453	3.32452	1.00358	2.62377	0.35475
96500	18.1471	3.29798	0.0774498	1.87727	0.153014
96600	19.5036	3.93631	0.131948	1.3453	0.418648
96700	21.0414	3.78506	1.30202	2.83776	0.345385
96800	19.3084	3.48226	1.63899	1.81578	0.409091
96900	19.978	3.6086	1.3501	2.11297	0.23043
97000	14.704	2.41296	0.46642	1.72323	0.280924
97100	24.0915	4.94953	0.866366	1.84472	0.23525
97200	22.4469	4.32966	0.0113918	1.72077	0.282233
97300	18.3664	3.49512	0.123283	2.05032	0.127199
97400	18.3997	3.44821	1.32329	1.30994	0.304784
97500	18.7388	3.44232	0.655221	1.41701	0.364616
97600	17.9062	3.11875	0.746091	2.06681	0.470082
97700	18.4101	3.2152	1.06409	2.5358	0.212563
97800	21.6511	4.41269	0.530132	1.37755	0.167873
97900	20.3731	3.67692	0.337884	1.65247	0.259968
98000	19.1917	3.45545	0.318243	1.47508	0.24499
98100	19.8763	3.49783	1.37194	2.24411	0.26887
98200	24.2283	5.00616	0.555122	1.82829	0.263302
98300	16.8003	3.1515	0.45662	1.18757	0.381097
98400	21.4002	4.06201	0.347734	1.5436	0.226527
98500	23.5367	4.67336	0.510321	1.97891	0.280691
98600	18.6167	3.33518	1.15825	2.47622	0.516838
98700	20.4563	3.77078	1.09852	1.85123	0.222498
98800	21.0252	3.89712	0.464209	2.02844	0.385471
98900	20.5202	3.96079	0.195209	1.45619	0.172164
99000	25.27	5.49076	0.354088	2.17906	0.204405
99100	17.4534	2.94514	2.07664	2.23872	0.418949
99200	18.9682	3.44404	1.51209	1.80201	0.445476
99300	22.1374	4.61084	0.379775	1.25138	0.299019
99400	17.6532	2.8815	0.573223	2.1756	0.289771
99500	19.3925	3.27825	0.29265	2.61905	0.264968
99600	17.4389	3.15935	0.626166	1.2932	0.316153
99700	18.4724	3.33321	0.481968	1.38973	0.319658
99800	17.0358	3.05985	0.285073	2.94061	0.532736
99900	14.2448	3.41496	1.05754	1.03862	0.0986351
100000	16.3174	3.1724	0.293844	1.4631	0.516107
